City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
335,coquimbo,0,CL,1518300000,64,-29.95,-71.34,68.0,9.17
336,richards bay,24,ZA,1518301642,79,-28.77,32.06,76.5,9.64
337,port hedland,80,AU,1518298200,94,-20.31,118.58,80.6,3.36
338,whitefish,90,US,1518299700,67,48.41,-114.33,19.4,2.71
339,umm lajj,32,SA,1518301646,100,25.02,37.27,66.78,3.6
340,beruwala,48,LK,1518301646,100,6.48,79.98,79.02,3.6
341,ugoofaaru,100,MV,1518301647,99,5.67,73.0,82.39,10.87
342,green river,1,US,1518299640,22,41.53,-109.47,33.8,19.46
343,neuruppin,75,DE,1518299400,80,52.92,12.81,33.8,6.93
344,adrar,0,DZ,1518300000,29,27.87,-0.29,48.2,6.62
345,hualmay,32,PE,1518301649,64,-11.1,-77.61,76.77,6.17
346,karoi,92,ZW,1518301650,97,-16.82,29.68,64.35,11.21
347,yumen,0,CN,1518301650,56,40.29,97.04,-0.59,9.75
348,lorengau,88,PG,1518301651,100,-2.02,147.27,83.74,12.77
349,turukhansk,76,RU,1518301651,78,65.8,87.96,4.81,3.6
350,cherskiy,88,RU,1518301651,77,68.75,161.3,-0.46,5.95
351,bone,40,ID,1518298200,94,-10.32,123.57,77.0,6.62
352,borisoglebskiy,92,RU,1518301652,89,57.26,39.15,19.75,10.87
353,anadyr,90,RU,1518300000,92,64.73,177.51,24.8,4.47
354,prince rupert,1,CA,1518300000,69,54.32,-130.32,35.6,5.82
355,vyshhorod,90,UA,1518300000,100,50.58,30.49,32.0,6.71
356,zambezi,44,ZM,1518301653,99,-13.55,23.12,64.21,2.59
357,chumikan,12,RU,1518301654,76,54.72,135.31,-17.6,4.72
358,amberley,100,NZ,1518300000,93,-43.15,172.73,64.4,11.41
359,dumai,76,ID,1518301654,100,1.68,101.45,72.54,2.71
360,margate,75,AU,1518300000,44,-43.03,147.26,59.0,18.34
361,ancud,92,CL,1518301655,67,-41.87,-73.83,59.13,3.94
362,danane,0,CI,1518301655,66,7.26,-8.15,77.49,1.03
363,kargopol,68,RU,1518301656,84,61.51,38.95,14.4,9.31
364,usinsk,0,RU,1518301656,75,66.0,57.56,0.67,6.62
365,misratah,44,LY,1518301656,100,32.38,15.09,52.29,16.02
366,swiebodzice,75,PL,1518300000,74,50.86,16.33,30.2,6.93
367,cayenne,90,GF,1518300000,83,4.94,-52.33,78.8,5.82
368,shchors,88,UA,1518301658,99,51.82,31.95,31.79,9.89
369,tiznit,0,MA,1518301646,94,29.7,-9.73,52.29,3.6
370,severo-yeniseyskiy,88,RU,1518301659,78,60.37,93.04,6.52,3.15
371,shakiso,0,ET,1518301659,46,5.77,38.9,55.75,4.16
372,umm kaddadah,0,SD,1518301659,52,13.6,26.69,67.14,5.39
